.Name,.Symbol,AverageDailyVolume,BookValue,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearHigh,PercentChangeFromYearLow,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,StockExchange,TwoHundreddayMovingAverage,Volume
Salesforce.com Inc,CRM,5546730,9.77,0,534220000.0,0.98,0.30,1.28,0.29,77.30,56760000000.0,0.16443949517446188,2.88,276.17,-0.0030932937391734416,0.054000000000000006,0.08689999999999999,-0.0356,0.3504,8.27,83.13,63.65,7.12,3.46,1,74.95,3674149
"Cisco Systems, Inc.",CSCO,22268700,12.73,3.44,14690000000.0,2.38,0.62,2.50,1.94,30.93,169210000000.0,0.040476190476190554,1.40,17.39,-0.0023809523809523725,0.091,0.09519999999999999,-0.0068000000000000005,0.3154,2.64,14.18,13.50,3.47,1.98,0,30.81,31853142
CSRA Inc. Common Stock,CSRA,1307140,1.87,1.33,745570000.0,2.01,0.48,2.05,1.18,31.75,4940000000.0,0.19453697534976677,1.51,25.54,0.003664223850766035,-0.046900000000000004,0.0479,-0.0978,0.3786,16.10,15.05,14.76,0.97,3.04,1,28.88,56549
CSX Corporation,CSX,11933500,12.58,1.48,4690000000.0,2.01,0.53,2.27,1.81,43.72,44970000000.0,-0.02663032082197514,2.48,26.83,-0.003355001048437778,0.11019999999999999,0.4047,-0.012,1.0585,3.79,24.15,21.38,3.99,1.28,0,34.56,11766424
Cintas Corporation,CTAS,669898,19.29,0.89,983280000.0,4.62,1.15,4.91,4.80,115.82,12460000000.0,0.0476110785708308,2.50,24.73,-0.004518450338883873,0.0241,0.0461,-0.029500000000000002,0.4481,6.20,25.67,24.16,2.47,8.21,0,113.38,1435535
"CenturyLink, Inc.",CTL,7431600,24.82,8.90,6490000000.0,2.16,0.56,2.09,1.16,25.17,13110000000.0,0.13962108731466238,10.91,20.93,-0.0016474464579901982,-0.0355,-0.078,-0.2741,0.0621,0.98,11.24,11.62,0.75,10.64,1,26.33,5122976
Cognizant Technology Solutions,CTSH,6248840,17.67,0,2660000000.0,3.65,0.90,4.28,2.55,56.15,35180000000.0,0.11101549053356274,1.26,22.73,-0.001549053356282304,0.0322,0.0533,-0.0833,0.2755,3.29,15.88,13.54,2.61,1.34,0,55.03,3777629
"Citrix Systems, Inc.",CTXS,1739330,16.69,0,1030000000.0,4.65,1.10,5.08,3.41,86.22,12590000000.0,0.05954465849387036,1.45,23.61,-0.002376782586940185,-0.0663,-0.0678,-0.0033,0.508,4.79,17.31,15.85,3.66,3.98,0,86.35,2056915
CVS Health Corporation,CVS,7676720,34.71,2.51,13050000000.0,5.85,1.32,6.35,4.91,79.80,84550000000.0,0.08672120830711139,1.31,16.23,0.0,-0.0013,-0.058499999999999996,-0.2529,0.1499,2.29,13.62,12.55,0.47,5.96,1,84.64,6215800
"Dominion Resources, Inc.",D,2661400,23.29,4.09,5480000000.0,3.68,0.74,4.06,3.44,74.64,46260000000.0,0.04297139758709512,4.55,21.44,0,-0.011699999999999999,-0.0091,-0.0658,0.0916,3.17,20.05,18.17,3.94,8.37,1,74.44,0
"Delta Air Lines, Inc.",DAL,7589480,16.88,1.58,8240000000.0,5.31,1.62,5.86,5.79,49.60,37290000000.0,-0.9921306315168208,-22.09,8.85,-0.0047216210899074795,0.0329,0.16390000000000002,-0.028999999999999998,0.5715,3.01,9.80,8.74,0.93,1.85,1,44.02,5434776
E.I. du Pont de Nemours and Com,DD,2565760,11.31,1.96,5070000000.0,3.69,1.32,4.04,2.86,75.36,67000000000.0,0.07661653168787752,3.09,27.14,-0.0011569610489781113,0.0282,0.0867,-0.0116,0.34159999999999996,6.88,21.00,19.18,2.73,2.55,1,71.31,1716975
Deere & Company Common Stock,DE,2949460,21.55,2.18,3870000000.0,4.58,1.42,5.32,4.62,106.25,34920000000.0,-0.052670147476412965,1.31,23.89,0.023816066684986703,0.0378,0.1932,-0.0169,0.47200000000000003,5.07,24.08,20.73,1.30,8.26,1,92.41,6717785
Discover Financial Services,DFS,2502960,29.11,1.68,0.00,6.07,1.49,6.78,5.77,70.34,27740000000.0,0.1298701298701299,1.37,12.36,-0.005505364201016327,0.013600000000000001,0.1241,-0.0408,0.575,2.43,11.75,10.52,3.17,1.71,1,63.43,2082230
Dollar General Corporation Comm,DG,3092930,19.41,1.29,2370000000.0,4.39,1.05,4.70,4.26,73.41,21460000000.0,0.05209155485398598,1.77,18.22,0.00026308866087876304,0.057999999999999996,0.0209,-0.19829999999999998,0.168,3.92,17.69,16.53,0.99,2.70,1,76.08,2518789
Quest Diagnostics Incorporated,DGX,974674,33.78,1.88,1480000000.0,5.47,1.44,5.78,4.51,92.82,13100000000.0,-0.027387198321091266,2.12,21.21,-0.005246589716684125,0.0304,0.0973,-0.0084,0.47,2.82,17.48,16.55,1.74,4.26,1,87.16,978685
"D.R. Horton, Inc. Common Stock",DHI,4664620,18.70,1.31,1520000000.0,2.73,0.74,2.99,2.49,29.03,11390000000.0,0.13473545842918178,1.21,12.25,-0.0029576076240551696,0.050199999999999995,0.0242,-0.11779999999999999,0.2568,1.63,11.17,10.20,0.90,2.08,1,29.77,2349455
Danaher Corporation,DHR,2897040,33.23,0.59,3880000000.0,3.94,0.98,4.28,3.65,81.80,58180000000.0,0.07347181008902082,2.25,23.01,-0.002136498516320584,0.0275,0.0565,-0.18230000000000002,0.11019999999999999,2.54,21.33,19.64,3.45,2.09,1,79.55,2342419
Walt Disney Company (The) Commo,DIS,8346580,27.01,1.42,16780000000.000002,5.93,1.69,6.72,5.54,108.08,174030000000.0,0.05040195104326628,1.97,19.87,-0.004245325625508056,0.0183,0.11410000000000001,-0.0172,0.2186,4.10,18.56,16.38,3.17,2.16,1,98.79,6349161
"Discovery Communications, Inc.",DISCA,2708400,8.83,0,2440000000.0,2.20,0.68,2.47,1.96,27.89,16790000000.0,-0.014000700035001645,1.17,14.66,0.0003500175008750439,0.028399999999999998,0.0658,-0.036000000000000004,0.2122,3.24,13.04,11.61,2.57,7.79,0,26.91,1987534
"Discovery Communications, Inc.",DISCK,1354680,8.83,0,2440000000.0,2.20,0.68,2.46,1.96,27.24,16440000000.000002,0.012147195426938096,0.94,14.35,-0.0025008931761342224,0.0311,0.07440000000000001,-0.028399999999999998,0.2523,3.17,12.77,11.42,2.52,2.24,0,26.14,711998
Delphi Automotive plc Ordinary,DLPH,2160340,8.90,1.54,2980000000.0,6.53,1.69,7.16,4.59,71.97,20340000000.0,0.11118473363371328,0.95,16.44,0,0.048600000000000004,0.10039999999999999,-0.0326,0.30010000000000003,8.48,11.56,10.54,1.22,2.76,1,68.58,0
"Digital Realty Trust, Inc.",DLR,1381640,25.68,3.38,1180000000.0,1.58,0.40,1.96,2.20,105.03,16559999999.999998,0.05080473143300357,1.85,47.34,0.01871242970719411,-0.0084,0.0655,-0.08,0.3538,4.02,65.92,53.14,7.60,13.19,1,97.75,2336762
"Dollar Tree, Inc.",DLTR,2860950,21.39,0,2270000000.0,3.79,1.10,4.50,3.40,77.27,18890000000.0,0.1593589743589745,0.93,23.52,-0.0008974358974358498,0.0353,-0.0226,-0.19940000000000002,0.1027,3.65,21.11,17.78,0.90,2.77,0,81.85,2607109
Dover Corporation,DOV,1192230,24.45,2.20,1120000000.0,3.58,0.92,4.26,3.25,78.52,12430000000.0,0.03500875218804689,1.86,24.60,-0.00562640660165048,0.0181,0.0902,-0.028900000000000002,0.3747,3.27,22.33,18.77,1.83,1.86,1,73.33,1000737
Dow Chemical Company (The),DOW,6352460,21.46,3.00,8690000000.0,4.08,1.07,4.36,3.52,59.28,74330000000.0,0.10096075557726758,2.15,17.40,-0.0034196384953589787,0.0335,0.1048,-0.0095,0.3265,2.86,15.01,14.05,1.55,2.09,1,55.45,4063317
"Dr Pepper Snapple Group, Inc Dr",DPS,1390300,11.65,2.47,1650000000.0,4.58,1.28,4.98,4.54,91.39,17240000000.0,0.032134496701425874,2.36,20.74,-0.0007448393275165666,0.030299999999999997,0.0421,-0.047,0.1618,8.06,20.56,18.91,2.67,5.78,1,90.35,56080
"Darden Restaurants, Inc. Common",DRI,1566880,14.93,2.92,930200000.0,3.94,1.15,4.32,3.41,73.42,9530000000.0,0.000651635605369405,1.50,22.48,0,0.0451,0.1267,-0.034,0.2896,5.14,19.47,17.76,1.36,8.27,1,68.10,0
DTE Energy Company,DTE,990210,50.22,3.36,2240000000.0,5.32,1.06,5.69,4.83,98.22,17610000000.0,0.03729603729603714,3.67,20.31,0.0010134792743488052,-0.001,0.028900000000000002,-0.0232,0.2002,1.96,18.44,17.24,1.67,3.89,1,95.36,797231
Duke Energy Corporation (Holdin,DUK,3186830,58.62,4.36,8730000000.0,4.61,1.03,4.81,3.11,77.56,54850000000.0,0.01609632446134346,6.61,25.16,-0.0025348542458808465,0.0103,0.0004,-0.107,0.0832,1.35,17.00,16.29,2.43,3.07,1,78.33,4104558
DaVita Inc.,DVA,1604900,23.89,0,2490000000.0,3.58,0.92,3.96,4.29,64.40,13020000000.0,0.023816888339004194,1.38,15.59,0.012991030003093096,0.0388,0.0416,-0.1507,0.2275,2.71,18.69,16.89,0.85,4.65,1,64.23,3752115
Electronic Arts Inc.,EA,2895470,11.56,0,1240000000.0,3.83,0.20,4.18,4.12,81.92,26910000000.0,0.07433124644280031,1.41,21.19,-0.0010244735344335787,0.06570000000000001,0.07629999999999999,-0.0111,0.5025999999999999,7.60,22.79,20.89,5.85,3.48,0,81.11,1773693
eBay Inc.,EBAY,10394700,9.69,0,3010000000.0,2.01,0.47,2.22,6.35,31.55,36700000000.0,0.025044722719141488,2.30,5.31,-0.0008944543828265372,0.0702,0.1013,-0.011399999999999999,0.5139,3.46,16.80,15.21,4.06,1.45,0,30.66,7797442
Ecolab Inc. Common Stock,ECL,913555,23.56,1.19,2870000000.0,4.40,0.89,4.90,3.60,119.50,36140000000.0,-0.004055807916937049,2.43,34.46,0.00032446463335489284,0.037200000000000004,0.0417,-0.0052,0.2568,5.23,28.17,25.30,2.72,3.98,1,118.99,1249148
"Consolidated Edison, Inc. Commo",ED,1610610,46.88,3.76,3690000000.0,4.12,0.72,4.29,4.12,73.69,22420000000.0,-0.018710459011980096,6.01,17.84,-0.0028267599946157906,-0.0026,-0.0089,-0.1023,0.0739,1.58,17.84,17.13,1.88,6.57,1,74.16,2768835
"Equifax, Inc. Common Stock",EFX,930384,22.21,1.20,1090000000.0,6.04,1.58,6.68,4.04,119.93,15600000000.0,0.0813514969599014,1.96,32.21,-0.0023089355806973355,0.0851,0.0383,-0.0499,0.3333,5.85,21.55,19.48,4.95,4.43,1,125.33,581463
Edison International,EIX,1671130,36.26,2.84,3690000000.0,3.92,0.87,4.11,2.70,72.85,24870000000.0,0.02757619738751793,12.72,28.31,0.00039583058450975983,0.0479,0.0579,-0.0302,0.215,2.09,19.47,18.57,2.18,4.11,1,72.16,1985051
"Estee Lauder Companies, Inc. (T",EL,2143220,10.36,1.60,2200000000.0,3.33,0.54,3.71,2.89,80.70,31140000000.0,0.07361594812057182,2.78,29.37,0.004923742043953627,0.0533,0.012199999999999999,-0.128,0.12890000000000001,8.04,25.53,22.91,2.68,3.06,1,83.97,6467665
Eastman Chemical Company,EMN,1316030,30.26,2.54,2029999999.9999998,7.29,1.91,7.96,5.84,78.09,11760000000.0,0.06401985111662545,1.69,13.74,0.0003722084367245859,0.0277,0.11960000000000001,-0.0102,0.3042,2.66,11.01,10.08,1.31,1.78,1,71.68,878758
Emerson Electric Company Common,EMR,3646030,12.00,3.10,3110000000.0,2.53,0.67,2.80,2.46,58.42,39920000000.0,-0.05818759936406992,2.93,25.11,-0.0060413354531000385,0.0594,0.1332,-0.0254,0.3507,5.24,24.46,22.10,2.82,2.65,1,54.61,5091075
"Equinix, Inc.",EQIX,521953,61.15,1.94,1500000000.0,4.70,1.09,6.93,1.79,378.43,26720000000.0,0.1147435553888203,4.24,208.51,0.0017953802454580003,-0.011000000000000001,0.0354,-0.0429,0.3144,6.10,79.63,54.01,7.38,4.93,0,361.48,606218
Equity Residential  of Benefici,EQR,2236070,27.86,3.27,1560000000.0,1.30,0.31,1.36,11.68,62.43,22530000000.0,0.043632837750484654,-21.35,5.27,0.0021008403361344463,-0.0137,-0.0202,-0.1843,0.056600000000000004,2.22,47.37,45.28,9.33,3.55,1,62.85,1365607
Eversource Energy (D/B/A),ES,1386630,33.53,3.38,2510000000.0,2.97,0.86,3.15,2.81,55.32,17790000000.0,0.03144430627109607,3.28,19.98,0.0001776514478593061,0.0151,0.030600000000000002,-0.071,0.1106,1.68,18.91,17.83,2.36,2.89,1,54.48,1529703
Express Scripts Holding Company,ESRX,4110180,26.81,0.00,7100000000.0,6.93,1.71,7.62,5.39,69.86,42380000000.0,0.15292268114906382,0.78,12.98,0,0.0015,-0.024900000000000002,-0.12560000000000002,0.0855,2.61,10.10,9.18,0.42,5.16,0,71.75,200
"Essex Property Trust, Inc. Comm",ESS,392761,94.50,2.81,896250000.0,4.21,1.01,4.42,6.27,227.46,14930000000.0,0.04888206926786509,8.40,36.34,-0.0010521701008329165,0.0017000000000000001,0.0254,-0.0407,0.1391,2.41,54.12,51.55,11.24,5.40,1,222.20,13669
E*TRADE Financial Corporation,ETFC,3052690,21.41,0.00,0.00,1.94,0.49,2.35,1.98,36.38,10320000000.0,0.15200430454667746,1.03,18.98,0.005918751681463608,0.0334,0.2003,-0.0264,0.7467,1.74,19.38,16.00,4.88,1.06,0,31.32,57044
"Eaton Corporation, PLC Ordinary",ETN,2286370,33.07,3.18,3190000000.0,4.43,1.13,4.89,4.21,69.54,32270000000.000004,0.007105043187517479,1.71,17.01,-0.0033435497353022647,0.0301,0.0764,-0.009000000000000001,0.31920000000000004,2.17,16.17,14.65,1.64,2.96,1,66.55,2356679
Envision Healthcare Corporation,EVHC,1730620,41.91,0,736150000.0,1.40,0.33,1.62,3.24,67.31,3850000000.0,-0.40947155645394173,1.08,22.10,-0.00043315044758884813,0.0635,0.9026000000000001,-0.042300000000000004,2.8823000000000003,1.65,51.14,44.19,1.24,6.18,1,37.63,1498900
Edwards Lifesciences Corporatio,EW,2323580,12.26,0,887770000.0,3.40,0.86,3.85,2.61,94.29,19180000000.0,0.2822195040587123,1.63,34.38,-0.0006671855887913081,-0.0482,-0.1231,-0.26289999999999997,0.1063,7.34,26.39,23.31,6.48,1.45,1,102.34,2440168
Exelon Corporation Common Stock,EXC,5946260,27.96,3.68,9130000000.0,2.67,0.63,2.87,1.22,35.45,32970000000.0,0.08628442945474979,9.32,29.16,0,0.0037,0.0415,-0.0562,0.1932,1.27,13.33,12.40,1.05,2.80,1,34.16,4
Expeditors International of Was,EXPD,1297510,10.26,1.42,722390000.0,2.35,0.55,2.48,2.36,53.54,10190000000.0,-0.09346626312978457,6.58,23.93,-0.0008901548869504339,0.0553,0.08289999999999999,0.0,0.2956,5.47,24.04,22.78,1.67,9.68,0,52.17,1546617
"Expedia, Inc.",EXPE,1969170,27.54,0.87,1070000000.0000001,5.41,0.96,6.93,1.82,119.38,17890000000.0,0.17672090112640815,0.92,65.61,-0.004088443888193516,0.0002,0.0075,-0.1059,0.2364,4.35,22.07,17.23,2.05,6.22,0,118.52,1685049
Extra Space Storage Inc Common,EXR,931394,17.48,4.04,558240000.0,2.54,0.51,2.48,2.32,74.57,9670000000.0,0.033915857605178124,5.46,33.17,-0.0014239482200647524,0.030299999999999997,0.0101,-0.18960000000000002,0.1284,4.42,30.25,30.98,10.02,7.02,1,76.06,52181
Ford Motor Company Common Stock,F,36875000,7.34,4.77,13300000000.0,1.64,0.45,1.72,1.15,12.50,50000000000.0,0.05901116427432229,2.62,10.94,-0.0031897926634768536,0.0064,0.0229,-0.1153,0.1364,1.71,7.67,7.31,0.33,1.55,1,12.30,26407405
Fastenal Company,FAST,2520440,6.68,2.52,899360000.0,1.84,0.49,2.02,1.73,49.27,14670000000.0,-0.004149377593360981,2.35,29.33,-0.003359019956530318,0.029300000000000003,0.1355,-0.0165,0.34509999999999996,7.57,27.56,25.10,3.69,6.17,0,44.66,1683163
"Facebook, Inc.",FB,20075000,20.51,0,14840000000.0,5.42,1.30,6.69,3.49,128.87,385900000000.0,0.19336521219366398,1.05,38.23,-0.002540346682606165,0.0362,0.0642,-0.014499999999999999,0.30829999999999996,6.53,24.64,19.96,14.00,1.01,0,125.47,12308876
"Fortune Brands Home & Security,",FBHS,1203370,15.06,1.26,776100000.0,3.03,0.88,3.44,2.62,55.51,8950000000.0,0.13087719298245593,1.96,21.82,-0.002456140350877156,0.027999999999999997,-0.0024,-0.1149,0.1602,3.78,18.83,16.59,1.79,3.13,1,57.20,864426
FedEx Corporation Common Stock,FDX,1648240,54.52,0.83,7860000000.0,11.97,3.66,13.47,6.80,188.77,51620000000.0,0.08657874321179215,1.53,28.46,-0.0028445823635893097,0.026099999999999998,0.0857,-0.039,0.5125,3.55,16.18,14.38,0.93,2.27,1,178.42,808101
"F5 Networks, Inc.",FFIV,680829,18.44,0,610230000.0,8.29,2.09,9.19,5.54,140.84,9290000000.0,0.0034906450712091086,1.52,25.87,-0.002583077352694807,0.0178,0.08,-0.0336,0.5734,7.77,17.29,15.60,4.59,5.73,0,132.74,512244
Fidelity National Information S,FIS,1907310,29.79,1.41,2470000000.0,4.24,0.99,4.80,1.72,78.55,26830000000.0,0.09630445423396972,1.46,47.62,-0.0018355359765052093,0.044500000000000005,0.056799999999999996,0.0,0.41960000000000003,2.74,19.35,17.09,2.89,2.35,1,77.64,1028137
"Fiserv, Inc.",FISV,995800,11.56,0,1860000000.0,5.11,1.25,5.72,4.15,108.64,24620000000.0,-0.00026790498303264076,1.75,26.98,0,0.0308,0.0764,-0.0001,0.2066,9.69,21.91,19.58,4.47,3.29,0,104.03,0
Fifth Third Bancorp,FITB,6613830,19.82,2.03,0.00,1.78,0.43,2.00,1.93,26.72,20670000000.0,-0.004710144927536297,15.51,14.27,-0.007971014492753725,0.030699999999999998,0.17859999999999998,-0.012,0.8915000000000001,1.39,15.47,13.77,3.62,2.74,0,23.37,3990251
"Foot Locker, Inc.",FL,1741830,19.89,1.75,1140000000.0,4.78,1.53,5.27,4.63,69.94,9400000000.0,0.13617021276595742,1.60,15.33,-0.0008510638297872797,0.0152,0.0322,-0.1061,0.39490000000000003,3.54,14.85,13.47,1.22,5.63,1,68.78,1358174
"FLIR Systems, Inc.",FLIR,738786,12.32,1.64,354660000.0,1.82,0.41,2.05,1.20,35.71,4990000000.0,0.06126373626373627,1.26,30.52,0.0013736263736265908,0.0256,0.0975,-0.0161,0.2958,2.95,20.12,17.86,2.98,1.23,0,33.37,1137429
Fluor Corporation Common Stock,FLR,1423680,22.43,1.49,822590000.0,2.93,0.72,3.21,2.00,54.21,7860000000.0,0.004177545691905982,2.03,28.22,0.009573542210617791,0.040999999999999995,0.0794,-0.0294,0.3306,2.56,19.26,17.58,0.42,3.45,1,52.28,2191415
Flowserve Corporation,FLS,1342390,12.70,1.57,477920000.0,2.01,0.49,2.32,1.11,49.85,6310000000.0,-0.03975595355245032,1.54,43.58,-0.045463491438693215,-0.0297,0.0169,-0.0787,0.2361,4.00,24.06,20.85,1.66,9.40,1,47.56,5094007
FMC Corporation Common Stock,FMC,950210,14.88,1.13,689300000.0,3.39,0.84,3.77,1.56,58.99,7800000000.0,0.07746844198512881,1.58,37.35,0.0029396507003285333,-0.0129,0.1144,-0.07339999999999999,0.6844,3.89,17.18,15.45,2.36,3.67,1,52.25,2525877
"Twenty-First Century Fox, Inc.",FOX,3294650,7.75,1.20,6950000000.0,1.94,0.42,2.07,1.64,29.69,55380000000.0,0.13031914893617036,1.42,18.23,-0.0009973404255317897,0.0076,0.1073,-0.0441,0.2529,3.88,15.42,14.45,1.98,2.65,0,27.02,2438244
"Twenty-First Century Fox, Inc.",FOXA,9020580,7.75,1.19,6950000000.0,1.91,0.40,2.09,1.64,30.20,56170000000.0,0.12454695222405276,1.20,18.49,0,0.0049,0.1225,-0.0441,0.3009,3.92,15.89,14.52,2.00,2.52,0,27.04,0
Federal Realty Investment Trust,FRT,391519,27.32,2.79,512830000.00000006,3.36,0.80,3.47,3.50,141.11,10140000000.0,0.08085409252669051,8.37,40.19,0.002918149466192066,-0.0032,-0.0433,-0.1778,0.0467,5.14,41.86,40.54,12.64,4.47,1,147.03,378090
"First Solar, Inc.",FSLR,2262940,57.22,0,720610000.0,4.70,0.10,0.41,4.89,33.25,3690000000.0,-0.01320321469575203,-0.20,7.25,0.01578645235361642,0.0681,-0.0055000000000000005,-0.522,0.2416,0.61,7.56,86.61,1.06,9.02,0,35.70,385539
TechnipFMC plc Ordinary Share,FTI,5337860,42.82,3.48,1300000000.0,1.06,0.21,1.07,4.59,34.55,3830000000.0,0.1056034482758621,-2.92,7.00,-0.009236453201970307,-0.0709,0.0155,-0.13449999999999998,0.3932,0.76,30.28,30.00,0.38,2.56,1,31.61,2275867
Fortive Corporation,FTV,1601140,7.77,0.49,1420000000.0,2.68,0.68,2.92,2.51,55.24,19950000000.0,0.01812162397630246,3.79,22.98,0.00034849276877491064,0.0444,0.09230000000000001,-0.009399999999999999,0.34159999999999996,7.39,21.53,19.76,3.19,0.65,1,52.82,902052
General Dynamics Corporation Co,GD,1516860,36.43,1.61,4760000000.0,9.75,2.38,10.56,9.52,180.16,57030000000.0,0.06934306569343063,2.10,19.87,-0.00021157304559393797,0.0506,0.154,-0.001,0.4817,5.19,19.41,17.92,1.82,1.30,1,164.01,38213
General Electric Company,GE,30055600,8.62,3.16,16800000000.0,1.63,0.31,1.91,0.90,30.53,267100000000.00003,0.1165845648604269,1.54,33.90,-0.0013136288998357726,-0.0053,-0.0034999999999999996,-0.0797,0.07730000000000001,3.53,18.63,15.90,2.17,2.56,1,30.48,21850302
GGP Inc.,GGP,4052430,9.48,3.52,1820000000.0,0.61,0.14,0.70,1.34,25.07,22140000000.0,0.1926458832933653,8.04,18.67,0,-0.0021,-0.058499999999999996,-0.2206,0.0526,2.64,41.02,35.74,8.59,4.72,1,26.57,0
"Gilead Sciences, Inc.",GILD,10686700,14.78,2.98,19220000000.0,8.57,2.13,7.94,9.94,71.69,91500000000.0,0.16029014364955185,-1.69,7.03,-0.0018489546294978565,-0.025699999999999997,-0.0722,-0.3225,0.0684,4.76,8.15,8.80,3.03,1.27,0,75.29,11188927
"General Mills, Inc. Common Stoc",GIS,2652550,7.20,3.24,3380000000.0,3.07,0.74,3.34,2.68,62.00,34350000000.0,0.018687032824179273,2.82,22.12,-0.04306142346441333,-0.0447,-0.0791,-0.1881,0.0513,8.54,19.29,17.73,2.24,3.97,1,64.32,11680881
Corning Incorporated Common Sto,GLW,7157720,16.84,2.24,2560000000.0,1.67,0.41,1.79,3.23,25.39,25660000000.0,-0.041501263081919926,1.86,8.56,-0.002887044388307558,0.0888,0.16390000000000002,-0.0007000000000000001,0.563,1.65,16.56,15.45,2.74,2.56,1,23.76,4456285
General Motors Company Common S,GM,14544800,29.224,4.080,19680000000.0,6.050,1.770,6.090,6.000,36.580,56770000000.0,0.05803331542181622,-1.300,6.316,0.010209564750134348,0.03595,0.12532,-0.012509999999999999,0.38606,1.274,6.264,6.222,0.335,2.620,1,33.675,1307101
Alphabet Inc.,GOOG,1612920,201.12,0,29860000000.0,33.28,8.07,38.81,27.88,803.48,572540000000.0,0.1532841426449454,1.28,29.70,-0.006098518241211548,0.030600000000000002,0.0583,-0.0165,0.2484,4.12,24.88,21.34,6.34,1.21,0,782.45,1611039
Alphabet Inc.,GOOGL,1665140,201.12,0,29860000000.0,33.45,8.09,39.07,27.88,829.46,585320000000.0,0.1704447463233123,1.32,30.37,0,0.0206,0.048499999999999995,-0.0236,0.2585,4.21,25.31,21.67,6.48,1.66,0,807.38,0
Genuine Parts Company Common St,GPC,600490,22.34,2.61,1240000000.0,4.58,1.11,4.91,4.63,97.80,14920000000.0,-0.023244263434985646,2.53,21.67,-0.0007946756729909632,0.0253,0.0264,-0.0537,0.1578,4.51,21.90,20.42,0.98,3.90,1,97.70,87943
"Gap, Inc. (The) Common Stock",GPS,6506720,6.83,3.76,1980000000.0,2.02,0.34,2.07,1.68,23.62,9870000000.0,0.04290968532897432,2.64,14.73,0.012668573763792601,0.0479,-0.0024,-0.1949,0.4559,3.58,12.25,11.96,0.63,0.01,1,24.81,407529
Garmin Ltd.,GRMN,1178880,17.84,4.01,692370000.0,2.69,0.48,2.68,2.68,49.05,9570000000.0,-0.06967615309126607,2.83,18.97,-0.005103042198233654,0.0359,0.0173,-0.09570000000000001,0.3232,2.86,18.89,18.96,3.27,14.63,0,49.95,1309677
"Goldman Sachs Group, Inc. (The)",GS,4127160,181.25,1.04,0.00,19.19,4.10,21.77,16.29,239.90,103860000000.0,-0.006574727389352053,1.03,15.37,-0.007737331622835186,0.0437,0.251,-0.0062,0.8117,1.38,13.05,11.50,3.38,0.95,1,200.15,3262750
The Goodyear Tire & Rubber Comp,GT,3020990,17.91,0.94,2530000000.0,3.91,0.90,4.91,4.74,32.22,9080000000.0,0.01244469026548689,1.43,7.61,-0.007190265486725633,0.11939999999999999,0.1635,-0.0096,0.484,2.02,9.23,7.35,0.60,7.12,0,31.00,3857059
"W.W. Grainger, Inc.",GWW,653966,32.41,1.91,1370000000.0,11.88,3.05,13.18,9.87,246.43,14990000000.0,-0.04744897959183669,2.88,25.83,-0.0031397174254317317,0.0346,0.1116,-0.029500000000000002,0.2626,7.86,21.46,19.34,1.48,8.23,1,229.36,282105
Harman International Industries,HAR,1087930,36.87,1.26,860350000.0,7.35,1.80,7.56,5.06,110.94,7770000000.0,-0.04414016755247285,1.00,21.99,0.0008107377713717501,0.0022,0.1565,-0.002,0.7123,3.01,15.13,14.71,1.08,1.32,1,96.14,140994
"Hasbro, Inc.",HAS,1733650,14.91,2.31,975380000.0,4.71,0.48,5.02,4.34,87.13,12310000000.0,-0.030456852791878153,3.91,22.70,0,0.1305,0.1855,-0.0026,0.3834,6.61,20.91,19.62,2.45,4.09,0,83.08,0
Huntington Bancshares Incorpora,HBAN,12742800,8.48,2.26,0.00,0.96,0.23,1.10,0.67,13.51,15340000000.0,0.0494001411432603,1.44,21.09,-0.010585744530698715,0.045899999999999996,0.2288,-0.0105,0.7564,1.67,14.72,12.85,4.62,1.97,0,11.50,6958891
Hanesbrands Inc.,HBI,7759470,3.23,2.85,1010000000.0,1.97,0.56,2.14,1.41,21.84,7960000000.0,0.32086330935251794,1.04,14.95,-0.003836930455635601,-0.037599999999999995,-0.1301,-0.309,0.1116,6.45,10.67,9.82,1.31,5.04,1,24.16,8313718
Welltower Inc. Common Stock,HCN,2110150,38.03,5.28,2089999999.9999998,2.26,0.46,1.97,2.27,66.47,23900000000.0,0.05009079903147695,10.08,29.08,0.0051452784503631666,-0.0083,-0.0562,-0.17800000000000002,0.2122,1.74,29.17,33.46,5.80,7.86,1,69.84,2199334
"HCP, Inc. Common Stock",HCP,4298220,11.85,4.76,1280000000.0,0.82,0.21,0.84,1.34,30.43,14550000000.0,0.0016092693916962553,15.16,23.20,0,0.021,-0.0287,-0.23149999999999998,0.1253,2.62,37.89,36.99,6.83,3.85,1,31.99,0
"Home Depot, Inc. (The)",HD,4259660,4.61,1.93,14930000000.0,6.35,1.61,7.17,6.16,137.26,174200000000.0,0.05298855447223394,1.64,23.21,-0.0012717253073334378,0.0418,0.08349999999999999,-0.0008,0.20420000000000002,30.72,22.52,19.94,1.85,2.03,1,131.98,5156938
