.Name,.Symbol,AverageDailyVolume,BookValue,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearHigh,PercentChangeFromYearLow,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,TwoHundreddayMovingAverage,Volume
Campbell Soup Company Common St,CPB,1670970,4.82,2.49,1370000000.0,3.06,0.51,3.20,1.61,57.98,17430000000.0,0.02933380455910939,3.90,35.69,-0.0005301289980562673,-0.012,-0.0143,-0.1563,0.08929999999999999,11.74,18.72,17.90,2.17,3.72,58.11,966974
Salesforce.com Inc Common Stock,CRM,4579280,10.60,0,504830000.0,1.29,0.31,1.68,0.26,82.97,59310000000.0,0.14014251781472686,2.31,322.42,-0.002375296912114022,0.0104,0.0926,-0.03,0.2619,7.94,64.98,49.90,7.10,2.90,76.73,1371074
"Cisco Systems, Inc.",CSCO,20066400,12.744,3.580,14670000000.0,2.380,0.620,2.490,1.940,33.783,163330000000.0,0.08524992333639991,1.360,16.812,-0.0015332720024531232,-0.03459,0.03333,-0.05546,0.2639,2.559,13.704,13.098,3.362,1.820,31.563,7093994
CSRA Inc. Common Stock,CSRA,1174270,1.87,1.45,745570000.0,2.01,0.49,2.06,1.18,28.93,4650000000.0,0.2359747545582047,1.38,24.04,-0.007713884992987308,-0.0152,-0.0435,-0.1506,0.2979,15.29,14.17,13.90,0.92,1.97,29.79,1049554
CSX Corporation,CSX,11990800,12.58,1.55,4690000000.0,2.07,0.55,2.45,1.81,47.47,43370000000.0,0.10544145670124938,1.87,25.88,-0.006140165149269516,-0.0138,0.16699999999999998,-0.0696,0.9161,3.75,22.61,19.11,3.95,2.22,40.11,2736671
Cintas Corporation,CTAS,554553,20.71,0.86,997250000.0,4.53,1.20,4.84,4.82,122.10,12880000000.0,0.0704179541388843,2.24,25.36,-0.002358107009269861,0.0014000000000000002,0.0552,-0.051100000000000007,0.3814,5.94,26.99,25.26,2.52,9.00,115.87,220595
"CenturyLink, Inc. Common Stock",CTL,8179940,24.52,8.60,6490000000.0,2.16,0.56,2.06,1.16,23.66,13700000000.0,0.07272727272727275,387.67,21.60,-0.002371541501976382,0.0594,0.0062,-0.25079999999999997,0.1223,1.03,11.60,11.99,0.79,10.89,24.91,7394946
Cognizant Technology Solutions,CTSH,5103170,17.65,0,2670000000.0,3.65,0.90,4.30,2.55,58.86,35730000000.0,0.12030848329048838,1.27,23.02,0.004798628963153417,-0.0026,0.0548,-0.0716,0.2918,3.31,16.08,13.65,2.63,5.54,55.65,2931828
"Citrix Systems, Inc.",CTXS,2294510,16.69,0,1030000000.0,4.65,1.10,5.07,3.41,82.16,13000000000.0,0.020493767976989652,1.50,24.38,-0.0010786193672099875,0.0116,0.1204,-0.0553,0.3704,5.00,17.88,16.39,3.82,3.97,74.19,399647
CVS Health Corporation Common S,CVS,6839690,34.71,2.57,13050000000.0,5.86,1.33,6.40,4.91,79.17,83020000000.0,0.09627841991616926,1.14,15.94,-0.013971802362504837,-0.0116,-0.024900000000000002,-0.2664,0.1291,2.27,13.35,12.23,0.47,5.58,80.25,7024570
"Dominion Resources, Inc. Common",D,2595120,23.26,3.90,5800000000.0,3.68,0.73,4.06,3.44,77.24,48910000000.0,-0.0037208108801640716,4.79,22.64,-0.0005132152938156498,0.008100000000000001,0.0397,-0.018799999999999997,0.1333,3.35,21.22,19.18,4.17,7.79,74.89,1326191
E.I. du Pont de Nemours and Com,DD,2881970,11.31,1.96,5070000000.0,3.68,1.31,4.01,2.86,80.08,67300000000.0,0.1029581252401075,3.10,27.26,-0.0048661800486619056,-0.0279,0.043,-0.055,0.2736,6.90,21.15,19.41,2.75,1.75,74.63,1862272
Deere & Company Common Stock,DE,2254140,21.44,2.22,3890000000.0,4.79,1.47,5.58,4.62,109.64,34580000000.0,0.004595588235294157,1.12,23.54,-0.007169117647058854,-0.009000000000000001,0.0691,-0.0315,0.41600000000000004,5.07,22.68,19.47,1.30,6.26,101.62,991649
Discover Financial Services Com,DFS,2215720,27.68,1.85,0.00,6.08,1.50,6.76,5.77,68.82,25140000000.0,0.21482947624847748,1.20,11.30,-0.00548112058465311,-0.0525,-0.0227,-0.12269999999999999,0.2959,2.37,10.73,9.65,3.50,2.22,66.73,1909640
Dollar General Corporation Comm,DG,2974890,19.64,1.51,2450000000.0,4.46,1.09,4.91,4.43,71.04,19000000000.0,0.14525462962962954,2.11,15.59,-0.0013020833333333703,-0.0278,-0.0512,-0.2871,0.038599999999999995,3.52,15.49,14.07,0.86,2.40,72.80,1169965
Quest Diagnostics Incorporated,DGX,821927,33.78,1.85,1410000000.0,5.46,1.44,5.79,4.51,98.31,13360000000.0,-0.025161092359619497,2.16,21.54,-0.003272987624015511,-0.011699999999999999,0.0653,-0.028399999999999998,0.3319,2.89,17.79,16.78,1.79,7.70,91.20,390739
"D.R. Horton, Inc. Common Stock",DHI,4186530,18.70,1.19,1520000000.0,2.74,0.74,3.00,2.49,33.17,12770000000.0,0.02371194379391106,1.31,13.74,-0.004976580796252739,0.031200000000000002,0.1379,-0.0104,0.2814,1.83,12.48,11.40,1.01,2.76,30.06,2188236
Danaher Corporation Common Stoc,DHR,2183810,33.231,0.650,4120000000.0,3.950,0.990,4.310,3.652,86.303,59820000000.0,0.057900807381776165,2.290,23.626,-0.0035755478662052864,-0.00024,0.05931,-0.1606,0.20787,2.609,21.844,20.019,3.560,3.100,81.451,1025052
Walt Disney Company (The) Commo,DIS,6056380,27.01,1.38,16780000000.000002,5.95,1.70,6.75,5.54,112.07,180560000000.0,0.04095623132360693,1.99,20.61,-0.002636667252592706,0.0189,0.0942,-0.0049,0.2644,4.21,19.19,16.92,3.26,3.12,104.36,6182012
"Discovery Communications, Inc.",DISCA,2750910,8.83,0,2440000000.0,2.16,0.67,2.43,1.96,28.28,16700000000.0,-0.011228070175438587,1.18,14.58,-0.002105263157894721,0.0089,0.030699999999999998,-0.0461,0.20579999999999998,3.23,13.27,11.74,2.57,9.31,27.68,713295
"Discovery Communications, Inc.",DISCK,1320550,8.83,0,2440000000.0,2.16,0.67,2.43,1.96,27.64,16399999999.999998,0.0021474588403722628,0.95,14.32,-0.0021474588403722628,0.013600000000000001,0.0387,-0.037599999999999995,0.2492,3.16,13.03,11.53,2.52,2.20,26.98,1028384
DISH Network Corporation,DISH,3762080,9.97,0.00,3170000000.0,2.80,0.76,2.64,3.05,62.59,26940000000.0,0.2779384249021941,-30.43,18.98,-0.019220955944888596,-0.07490000000000001,-0.0294,-0.1057,0.3201,5.90,20.90,21.93,1.81,3.36,59.66,3510527
Delphi Automotive plc Ordinary,DLPH,1978100,8.90,1.57,2980000000.0,6.53,1.69,7.18,4.59,77.84,20040000000.0,0.1531254182840318,0.93,16.20,-0.006826395395529206,-0.044800000000000006,0.041299999999999996,-0.1067,0.281,8.39,11.39,10.36,1.21,3.40,71.40,1214475
"Digital Realty Trust, Inc. Comm",DLR,1146080,25.68,3.39,1160000000.0,1.59,0.39,1.98,2.20,106.07,17840000000.0,-0.020136641495864804,1.93,50.91,-0.0011686443725278384,0.0559,0.1232,-0.010700000000000001,0.3099,4.33,70.44,56.57,8.20,11.88,99.71,1497828
"Dollar Tree, Inc.",DLTR,2854150,22.82,0,2350000000.0,4.46,0.90,5.05,3.78,76.38,18350000000.0,0.1639984381101134,1.24,20.54,-0.0013015749056357606,0.0166,-0.011899999999999999,-0.223,0.0703,3.37,17.41,15.38,0.88,1.56,78.58,1309198
Dover Corporation Common Stock,DOV,1135190,24.45,2.24,1120000000.0,3.58,0.92,4.28,3.25,79.42,12460000000.0,0.05121462559479095,1.79,24.65,-0.006260956674179807,0.0086,0.06,-0.0298,0.2737,3.27,22.25,18.71,1.83,1.77,75.57,1144204
Dow Chemical Company (The) Comm,DOW,6014560,21.46,3.01,8690000000.0,4.10,1.07,4.36,3.52,63.38,74590000000.0,0.13785841568119217,2.13,17.47,-0.002105945245423513,-0.029900000000000003,0.0525,-0.0602,0.294,2.88,15.00,14.10,1.56,3.35,58.41,4626405
"Dr Pepper Snapple Group, Inc Dr",DPS,1112380,11.65,2.37,1650000000.0,4.59,1.29,5.00,4.54,96.03,18200000000.0,0.010290371879775773,2.43,21.89,0.00030565461029041785,0.035,0.09269999999999999,-0.0008,0.2263,8.42,21.65,19.88,2.79,4.75,90.96,228338
"Darden Restaurants, Inc. Common",DRI,1575540,15.87,2.68,940800000.0,3.98,0.93,4.33,3.91,78.44,10290000000.0,0.010164569215876051,1.76,21.13,-0.0007260406582768608,0.0545,0.135,-0.0216,0.39020000000000005,5.21,20.78,19.10,1.46,9.06,72.88,825391
DTE Energy Company Common Stock,DTE,938000,50.22,3.23,2240000000.0,5.33,1.03,5.67,4.83,101.74,18710000000.0,-0.011968594408272692,3.85,21.59,-0.0003829950210646471,0.025099999999999997,0.0708,-0.0052,0.2303,2.08,19.57,18.39,1.76,4.12,97.40,295835
Duke Energy Corporation (Holdin,DUK,3007730,58.62,4.14,10030000000.0,4.62,1.03,4.83,3.12,82.06,57910000000.0,-0.018328710961051597,7.01,26.53,-0.0003617508742312925,0.0087,0.056100000000000004,-0.056799999999999996,0.1442,1.41,17.92,17.14,2.59,3.14,78.37,1352052
DaVita Inc. Common Stock,DVA,1180720,23.89,0,2490000000.0,3.57,0.91,3.93,4.29,68.04,13180000000.0,-0.02560725782850448,1.41,15.79,-0.007170032191981424,-0.0044,0.050199999999999995,-0.14,0.2429,2.86,18.97,17.24,0.90,2.99,64.50,578984
Electronic Arts Inc.,EA,2766350,11.56,0,1240000000.0,3.83,0.20,4.17,4.12,89.00,27500000000.0,0.0655756081156822,1.41,21.66,-0.0010088555094719398,0.0022,0.07150000000000001,-0.0285,0.45990000000000003,7.72,23.29,21.39,5.94,4.70,83.25,1392587
eBay Inc.,EBAY,8983620,9.69,0,3010000000.0,2.01,0.47,2.21,6.35,33.67,36950000000.0,0.013646922183507604,2.33,5.35,-0.009581881533101022,0.0095,0.0876,-0.021400000000000002,0.5242,3.55,16.91,15.38,4.17,2.41,31.25,4278106
Ecolab Inc. Common Stock,ECL,966647,23.65,1.19,2870000000.0,4.80,1.16,5.37,4.14,124.84,36560000000.0,0.03276989315898571,2.16,30.27,-0.006777228512199085,0.0038,0.0437,-0.0138,0.1325,5.30,26.11,23.34,2.78,4.49,120.06,672808
"Consolidated Edison, Inc. Commo",ED,1616490,46.88,3.55,3690000000.0,4.08,0.70,4.27,4.12,77.36,24120000000.0,-0.061240015214910626,5.50,19.19,0.0002535818435398518,0.0222,0.0679,-0.0342,0.1501,1.68,19.38,18.52,1.99,6.37,74.05,1011854
"Equifax, Inc. Common Stock",EFX,773153,22.21,1.14,1120000000.0,6.05,1.58,6.69,4.04,134.70,16469999999.999998,0.04356710209443193,2.03,34.01,-0.0013135809676713128,0.020099999999999996,0.094,-0.0039000000000000003,0.23929999999999998,6.17,22.71,20.54,5.22,2.91,125.59,189026
Edison International Common Sto,EIX,1742520,36.82,2.70,3960000000.0,4.13,1.01,4.31,3.98,79.70,26350000000.0,0.01673484566753425,4.71,20.34,0.0004958472790379531,0.0146,0.09720000000000001,-0.005699999999999999,0.1991,2.19,19.58,18.76,2.21,2.72,73.71,1459021
"Estee Lauder Companies, Inc. (T",EL,1891350,10.36,1.60,2200000000.0,3.32,0.54,3.72,2.89,84.74,31620000000.0,0.08247422680412386,2.79,29.82,-0.002225866916588548,0.0182,0.049699999999999994,-0.1148,0.146,8.24,25.99,23.20,2.75,3.69,82.21,2110097
Eastman Chemical Company Common,EMN,1188710,30.94,2.62,2109999999.9999998,7.29,1.91,7.99,5.75,79.16,11490000000.0,0.10563290330821307,1.53,13.64,-0.004598288414867757,-0.009399999999999999,0.0365,-0.044800000000000006,0.2507,2.53,10.76,9.81,1.27,2.99,75.66,675445
Emerson Electric Company Common,EMR,3938150,12.00,3.32,3110000000.0,2.58,0.68,2.82,2.46,59.61,37680000000.0,0.045547945205479445,2.69,23.70,-0.0070205479452054576,-0.020099999999999996,0.026699999999999998,-0.0925,0.20559999999999998,4.87,22.64,20.71,2.62,0.00,56.89,2904712
"Equinix, Inc.",EQIX,608239,61.14,1.82,1500000000.0,4.73,1.10,7.10,1.79,387.15,28880000000.0,0.04449021116101348,4.50,224.61,-0.0019354358452643439,0.0414,0.0981,-0.0034000000000000002,0.2817,6.59,85.24,56.78,7.99,2.30,367.14,215395
Equity Residential Common Share,EQR,1934810,27.86,3.19,1570000000.0,1.28,0.32,1.41,11.68,62.87,23560000000.0,0.005615348619560034,-22.16,5.50,-0.002963656215878907,0.0207,0.0337,-0.1216,0.1011,2.30,50.13,45.51,9.70,4.72,62.08,1166844
Eversource Energy (D/B/A) Commo,ES,1452480,33.80,3.19,2550000000.0,3.15,0.67,3.31,2.96,58.92,19060000000.0,-0.01973793332227558,3.15,20.32,-0.0014927848731132176,0.0207,0.08470000000000001,-0.006,0.1895,1.78,19.09,18.17,2.50,3.33,55.44,1385727
Express Scripts Holding Company,ESRX,4448430,26.81,0.00,7100000000.0,6.93,1.68,7.61,5.39,66.81,40090000000.0,0.20383980800959955,0.76,12.28,-0.005549722513874422,-0.0092,-0.053899999999999997,-0.1728,0.047,2.49,9.55,8.70,0.40,6.67,69.96,2609001
"Essex Property Trust, Inc. Comm",ESS,351587,94.50,3.00,898180000.0,4.18,1.01,4.39,6.27,232.30,15510000000.0,0.013384726163751193,8.66,37.75,-0.0030073277140073573,0.018799999999999997,0.058899999999999994,-0.0079,0.1833,2.50,56.62,53.91,11.64,6.64,223.51,214465
E*TRADE Financial Corporation,ETFC,3468590,21.41,0.00,0.00,1.83,0.45,2.24,1.98,34.71,9260000000.0,0.1959798994974875,1.68,17.04,-0.008276677505172914,-0.0282,-0.0039000000000000003,-0.1264,0.5674,1.58,18.43,15.06,4.45,1.19,33.86,2306422
"Eaton Corporation, PLC Ordinary",ETN,2265310,33.15,3.24,3190000000.0,4.45,1.14,4.92,4.21,73.25,33490000000.000004,0.014943457189014575,1.71,17.69,-0.0061927840603124285,0.0166,0.0833,-0.025099999999999997,0.3715,2.24,16.73,15.14,1.69,3.00,68.74,1742600
Edwards Lifesciences Corporatio,EW,2188280,12.38,0,894700000.0,3.41,0.87,3.84,2.61,93.60,20180000000.0,0.21352424749163879,1.79,36.39,-0.005748327759197425,0.0147,-0.006999999999999999,-0.21989999999999998,0.1709,7.73,27.85,24.73,6.86,0.73,95.65,1046169
Exelon Corporation Common Stock,EXC,4867120,27.961,3.640,9130000000.0,2.670,0.590,2.870,1.220,36.026,33100000000.0,0.08356545961002793,8.800,29.283,0.00027855153203337757,-0.00836,0.03306,-0.05239,0.19802,1.284,13.380,12.448,1.061,4.140,34.582,2555597
Expeditors International of Was,EXPD,1105000,10.26,1.45,716960000.0,2.49,0.63,2.70,2.36,56.22,10060000000.0,-0.027133166726169278,3.62,23.67,-0.006247768654052188,-0.0063,0.0404,-0.0258,0.2021,5.46,22.44,20.69,1.65,10.01,53.70,688419
"Expedia, Inc.",EXPE,1823290,27.54,0.87,1070000000.0000001,5.42,0.95,6.92,1.82,126.24,19540000000.0,0.09498235384379305,1.05,71.68,-0.0026852846401718145,0.0334,0.066,-0.0232,0.3507,4.73,24.07,18.85,2.23,5.47,122.38,854874
Extra Space Storage Inc Common,EXR,887608,17.876,4.190,649290000.0,2.640,0.650,2.790,2.907,76.717,10160000000.0,0.012060176551038193,3.700,27.817,-0.005346263831903619,0.05407,0.08089,-0.14708,0.18762,4.499,30.631,28.984,10.053,8.490,74.813,477486
Ford Motor Company Common Stock,F,37601100,7.34,5.40,13300000000.0,1.59,0.46,1.67,1.15,11.96,44270000000.0,0.18418688230008984,2.39,9.69,0.0017969451931716396,-0.0684,-0.08689999999999999,-0.21660000000000001,0.0063,1.52,7.01,6.67,0.29,2.77,12.20,35615048
Fastenal Company,FAST,2483430,6.85,2.81,917460000.0,1.86,0.48,2.02,1.73,50.64,12800000000.0,0.07467248908296953,1.95,25.29,-0.014628820960698619,-0.126,-0.060700000000000004,-0.16079999999999997,0.174,6.69,23.80,21.91,3.29,9.59,47.12,6754651
"Facebook, Inc.",FB,16618200,20.51,0,14840000000.0,5.43,1.30,6.70,3.49,139.64,408070000000.0,0.1364729175505588,1.09,40.42,-0.0010606703436569775,0.0111,0.09359999999999999,-0.015600000000000001,0.3282,6.89,26.00,21.07,14.79,1.27,129.12,10564260
"Fortune Brands Home & Security,",FBHS,1233020,15.39,1.17,774700000.0,3.03,0.88,3.44,2.62,60.25,9500000000.0,0.05830103359173133,2.13,23.73,-0.006621447028423821,0.03,0.0947,-0.0375,0.19210000000000002,4.02,20.48,18.04,1.90,2.84,56.68,701734
FedEx Corporation Common Stock,FDX,1794600,56.79,0.82,7810000000.0,11.93,3.20,13.60,7.03,192.59,49090000000.0,0.17958391721461697,1.31,26.10,-0.003664977902338995,-0.0466,-0.0208,-0.0891,0.2663,3.27,15.39,13.50,0.86,2.64,187.52,1521139
"F5 Networks, Inc.",FFIV,732619,18.44,0,610230000.0,8.34,2.09,9.20,5.54,142.74,8780000000.0,0.050669216061185685,1.35,24.46,-0.0013972643035740084,-0.0506,-0.023799999999999998,-0.09359999999999999,0.4254,7.37,16.25,14.73,4.36,6.73,138.81,381937
Fidelity National Information S,FIS,1739130,29.70,1.45,2270000000.0,4.25,0.99,4.81,1.72,81.06,26530000000.0,0.11447352102195207,1.43,46.84,-0.0021083963785192283,-0.0045000000000000005,0.0288,-0.0377,0.2539,2.71,18.99,16.78,2.87,2.66,78.44,504499
"Fiserv, Inc.",FISV,961848,11.79,0,1720000000.0,5.11,1.25,5.73,4.15,116.37,24960000000.0,-0.02833834263632462,1.81,28.03,-0.002490339201373981,-0.0003,0.0771,-0.0166,0.2535,9.88,22.77,20.30,4.54,3.11,108.01,289580
Fifth Third Bancorp,FITB,6178390,19.82,2.34,0.00,1.78,0.43,2.00,1.93,25.98,18050000000.0,0.12418032786885247,2.82,12.46,-0.0077868852459015425,-0.0747,-0.0473,-0.1702,0.48950000000000005,1.23,13.51,12.02,3.15,3.53,25.23,4152617
"Foot Locker, Inc.",FL,1866700,20.61,1.66,1160000000.0,5.41,1.05,5.87,4.91,74.43,9530000000.0,0.13980421894388528,1.43,14.78,-0.0008272438990762909,-0.024700000000000003,0.0129,-0.0861,0.4261,3.52,13.42,12.37,1.23,4.08,71.67,1489794
"FLIR Systems, Inc.",FLIR,741200,12.31,1.72,354660000.0,1.83,0.41,2.07,1.20,36.15,4820000000.0,0.10096700796359515,1.20,29.46,-0.0017064846416381396,-0.022099999999999998,0.013999999999999999,-0.0558,0.2509,2.86,19.32,17.08,2.88,0.96,34.86,232833
Fluor Corporation Common Stock,FLR,1224010,22.44,1.67,888160000.0,2.92,0.73,3.27,2.00,53.26,7080000000.0,0.1400433326767776,1.09,25.40,-0.008666535355524974,-0.0463,-0.0434,-0.1297,0.1532,2.26,17.46,15.54,0.37,2.87,53.10,493522
Flowserve Corporation Common St,FLS,1529470,12.70,1.57,477920000.0,1.77,0.44,2.23,1.11,47.10,6220000000.0,0.04943679599499373,1.75,42.90,-0.009803921568627416,0.011000000000000001,0.0036,-0.09300000000000001,0.217,3.78,26.90,21.35,1.57,4.81,47.45,643962
FMC Corporation Common Stock,FMC,1726430,14.64,0.95,714400000.0,3.41,0.85,3.86,1.56,64.07,9890000000.0,0.022455089820359264,1.96,47.52,-0.005579749591725802,0.1548,0.29109999999999997,-0.0255,0.841,5.02,21.70,19.17,2.99,2.41,57.31,979206
"Twenty-First Century Fox, Inc.",FOX,2432760,7.75,1.21,6950000000.0,1.93,0.42,2.07,1.64,30.46,55540000000.0,0.16047745358090193,1.37,18.29,-0.003978779840848823,-0.0149,0.051399999999999994,-0.0604,0.25670000000000004,3.89,15.55,14.36,1.99,2.33,28.54,753796
"Twenty-First Century Fox, Inc.",FOXA,7384880,7.75,1.18,6950000000.0,1.91,0.40,2.09,1.64,31.01,56750000000.0,0.11519687601692175,1.20,18.68,-0.0016270745200130943,-0.011399999999999999,0.0622,-0.059500000000000004,0.31420000000000003,3.97,16.05,14.67,2.03,3.10,28.86,5397538
Federal Realty Investment Trust,FRT,453352,27.32,2.91,512830000.00000006,3.21,0.79,3.43,3.50,133.82,9880000000.0,0.09798460974716017,8.40,39.16,-0.0007328691828508704,0.0241,-0.0195,-0.1989,0.0875,5.00,42.69,39.96,12.27,4.08,139.77,347765
TechnipFMC plc Ordinary Share,FTI,4309520,43.03,3.43,1150000000.0,1.06,0.34,1.67,2.49,32.33,3890000000.0,0.10254835738409573,-2.64,13.11,-0.003684372121584234,0.011000000000000001,-0.019799999999999998,-0.0955,0.068,0.76,23.86,19.57,0.44,2.29,33.35,1165420
Fortive Corporation Common Stoc,FTV,1449840,7.7710,0.4600,1440000000.0,2.6900,0.6800,2.9400,2.5100,59.2923,20780000000.0,0.014054232804232791,3.9300,23.9379,-0.005952380952380931,0.013356,0.091547,-0.016786000000000002,0.39730699999999997,7.7828,22.3361,20.4368,3.3610,1.2600,55.0450,1094394
General Dynamics Corporation Co,GD,1326980,36.43,1.80,4760000000.0,9.75,2.39,10.56,9.52,189.24,56460000000.0,0.07501720578114246,2.42,19.67,-0.0031235110381702125,-0.0098,0.071,-0.0341,0.41229999999999994,5.19,19.20,17.74,1.82,2.58,174.96,1199401
General Electric Company Common,GE,29841000,8.673,3.250,17140000000.0,1.630,0.310,1.900,0.893,29.825,260300000000.0,0.11808367071524972,1.470,33.410,-0.0013495276653171517,0.00035000000000000005,-0.01288,-0.09591,0.05835,3.418,18.304,15.703,2.150,2.960,30.224,15719848
GGP Inc. Common Stock,GGP,5093900,9.50,3.80,1860000000.0,0.62,0.14,0.69,1.34,23.44,20810000000.0,0.23848122866894195,7.32,17.57,-0.0017064846416383617,0.004699999999999999,-0.0546,-0.2664,0.0542,2.47,37.98,34.13,7.97,6.01,24.91,2403042
"Gilead Sciences, Inc.",GILD,9977500,14.42,3.13,19220000000.0,8.22,2.13,7.53,9.94,68.05,86370000000.0,0.186806596701649,-1.72,6.65,-0.001649175412293813,-0.028999999999999998,-0.0818,-0.3591,0.010700000000000001,4.63,8.04,8.78,2.87,1.35,71.96,4816045
"General Mills, Inc. Common Stoc",GIS,3215660,7.053,3.360,3410000000.0,3.060,0.840,3.240,2.699,59.391,33439999999.999996,0.0546875,2.910,21.506,0.0017361111111111605,-0.02266,-0.05287,-0.20431999999999997,0.01584,8.167,18.969,17.915,2.108,3.140,61.285,2363500
Corning Incorporated Common Sto,GLW,6612520,16.84,2.36,2560000000.0,1.68,0.41,1.84,3.23,27.25,24960000000.0,0.017332328560663246,1.76,8.33,-0.0022607385079125297,-0.0134,0.0639,-0.0518,0.4767,1.58,16.01,14.61,2.62,3.31,25.28,12789075
General Motors Company Common S,GM,15238200,29.22,4.55,19680000000.0,6.01,1.77,6.11,6.00,35.65,50540000000.0,0.18141592920353977,-1.18,5.62,-0.005309734513274322,-0.0535,-0.0352,-0.12480000000000001,0.2341,1.16,5.61,5.52,0.31,3.08,34.97,5772558
Alphabet Inc.,GOOG,1471600,201.12,0,29860000000.0,33.24,8.05,39.18,27.88,832.21,577160000000.0,0.1369017045522416,1.30,29.94,-0.0035237765328427484,0.003,0.0414,-0.022000000000000002,0.2585,4.16,25.11,21.31,6.41,2.03,801.57,443399
Alphabet Inc.,GOOGL,1550360,201.12,0,29860000000.0,33.31,8.08,39.27,27.88,851.30,590470000000.0,0.1454632628957,1.33,30.63,-0.003028779249938607,0.0032,0.039,-0.023399999999999997,0.2696,4.25,25.64,21.73,6.55,2.50,821.97,935204
Genuine Parts Company Common St,GPC,695890,21.52,3.04,1220000000.0,4.76,1.31,5.18,4.59,92.79,13390000000.0,0.08279689234184251,2.46,19.66,-0.0032186459489454977,-0.0274,-0.0536,-0.1483,0.042,4.19,18.96,17.42,0.87,2.58,95.37,460947
"Gap, Inc. (The) Common Stock",GPS,5428390,7.28,3.88,2029999999.9999998,1.99,0.56,2.04,1.69,23.99,9600000000.0,0.051067392214315666,1.77,14.21,-0.0020929259104227604,0.001,-0.028999999999999998,-0.2189,0.41240000000000004,3.28,12.07,11.77,0.62,5.72,24.73,2144653
Garmin Ltd.,GRMN,1317340,18.13,4.19,710250000.0,2.65,0.81,2.72,2.70,51.16,9290000000.0,0.0289914250714578,18.19,18.24,0.0004083299305839283,-0.0371,-0.015300000000000001,-0.1233,0.2554,2.70,18.59,18.11,3.06,9.99,50.03,726058
"Goldman Sachs Group, Inc. (The)",GS,3793110,182.46,1.16,0.00,19.59,3.98,21.67,16.29,237.88,89430000000.0,0.11964112083443834,0.87,13.24,-0.030672677450720442,-0.09369999999999999,-0.0291,-0.155,0.56,1.24,11.01,9.95,3.07,1.42,222.05,12437880
The Goodyear Tire & Rubber Comp,GT,2942640,17.91,1.17,2510000000.0,3.96,0.90,5.04,4.74,35.64,8700000000.0,0.07698912421293658,1.33,7.30,-0.00801373783629078,-0.0294,0.0604,-0.0702,0.42310000000000003,1.95,8.73,6.86,0.58,6.07,32.62,636614
"W.W. Grainger, Inc. Common Stoc",GWW,676202,30.5750,2.2000,1460000000.0,11.8500,3.0400,13.1300,9.8710,239.4640,12100000000.0,0.07749921514105029,2.5100,20.8338,-0.09104363815759975,-0.141207,-0.12110099999999999,-0.217212,0.026966999999999998,7.2926,17.3544,15.6626,1.2941,12.8100,233.9860,1870020
"Hasbro, Inc.",HAS,1515210,14.96,2.39,975380000.0,4.75,0.47,5.07,4.34,98.01,11880000000.0,0.04351455702807061,3.79,22.02,-0.0007304601899196239,-0.024900000000000002,0.0843,-0.0545,0.2552,6.40,20.12,18.85,2.37,4.87,88.14,229015
Huntington Bancshares Incorpora,HBAN,10718300,8.51,2.54,0.00,0.96,0.23,1.11,0.70,13.56,13900000000.0,0.16576297443841992,1.20,18.29,-0.0077459333849728695,-0.0562,0.0111,-0.1316,0.5911,1.52,13.33,11.53,4.21,2.82,12.66,14459125
Hanesbrands Inc. Common Stock,HBI,6525540,3.23,2.89,1010000000.0,1.97,0.56,2.13,1.41,20.49,8050000000.000001,0.2287857477730897,1.06,15.12,-0.003281762775433461,0.0377,-0.0529,-0.3011,0.1243,6.60,10.79,9.98,1.34,6.27,22.45,2702828
Welltower Inc. Common Stock,HCN,1932750,38.06,4.78,2109999999.9999998,1.77,0.45,1.91,2.81,69.65,26920000000.0,-0.03256574465185991,14.19,26.42,0.0006812917291183496,0.0659,0.10310000000000001,-0.0742,0.25,1.93,41.94,38.87,6.36,7.86,67.30,2448612
"HCP, Inc. Common Stock",HCP,4226780,11.852,4.640,1280000000.0,0.850,0.220,0.930,1.339,31.069,15340000000.0,-0.01952277657266821,15.010,24.462,0.0,0.05427,0.06691,-0.18983,0.18635000000000002,2.723,38.535,35.220,7.095,3.950,30.701,1914750
"Home Depot, Inc. (The) Common S",HD,3927270,3.6020,2.4400,15400000000.0,7.1900,2.2200,8.1000,6.4500,147.1300,177790000000.0,0.060891996470029186,1.7500,22.9142,-0.001697101350892627,0.004532,0.085759,-0.015672,0.239906,40.8967,20.5559,18.2465,1.8733,2.4400,136.1230,2368951
Hartford Financial Services Gro,HIG,2876340,45.20,1.93,1480000000.0,4.13,0.96,4.51,2.27,48.41,17660000000.0,0.08912324234904889,1.23,21.02,-0.005583126550868456,-0.0144,0.0118,-0.0507,0.22579999999999997,1.07,11.55,10.58,0.98,1.50,47.15,1177169
