AverageDailyVolume,BookValue,Change,ChangeFromFiftydayMovingAverage,ChangeFromTwoHundreddayMovingAverage,ChangeFromYearHigh,ChangeFromYearLow,Change_PercentChange,ChangeinPercent,DaysHigh,DaysLow,DaysRange,DividendPayDate,DividendShare,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,LastTradeTime,MarketCapitalization,OneyrTargetPrice,Open,PEGRatio,PERatio,PercebtChangeFromYearHigh,PercentChange,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearLow,PreviousClose,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,StockExchange,TwoHundreddayMovingAverage,Volume,symbol
1818170,56.23,+7.50,11.39,-4.75,-41.01,69.62,+7.50 - +2.63%,+2.63%,292.89,284.24,284.24 - 292.89,,,,6.37B,20.98,5.19,22.52,16.93,281.25,4:00pm,63.20B,321.72,284.57,2.16,17.29,-12.29%,+2.63%,+4.05%,-1.60%,+31.22%,285.14,5.07,13.95,12.99,5.38,1.12,NMS,297.39,2553707,BIIB
5936460,33.67,+0.61,1.20,3.64,-2.11,13.61,+0.61 - +1.30%,+1.30%,47.53,46.80,46.80 - 47.53,2/10/2017,0.76,1.67,0.00,3.46,0.85,3.90,3.15,46.23,4:00pm,49.68B,51.68,47.02,1.21,15.06,-4.26%,+1.30%,+2.59%,+8.32%,+40.24%,46.82,1.39,13.71,12.16,3.22,1.51,NYQ,43.79,4828232,BK
652497,176.40,+7.77,12.92,22.70,-6.71,95.71,+7.77 - +2.02%,+2.02%,392.87,385.29,385.29 - 392.87,3/23/2017,10.00,2.61,4.87B,21.36,5.29,24.24,19.04,379.83,3:05pm,64.07B,423.83,385.29,1.56,20.63,-1.68%,+2.02%,+3.40%,+6.14%,+32.22%,384.98,2.18,18.39,16.20,5.63,2.72,NYQ,370.05,408831,BLK
1213060,20.04,-0.30,-2.14,-4.03,-8.80,8.28,-0.30 - -0.41%,-0.41%,73.96,73.39,73.39 - 73.96,3/15/2017,0.52,0.70,1.28B,4.23,1.14,5.03,1.39,75.58,3:26pm,12.83B,84.70,73.70,1.94,52.83,-10.70%,-0.41%,-2.84%,-5.20%,+12.71%,73.74,3.68,17.36,14.60,1.41,9.64,NYQ,77.47,645622,BLL
11887100,9.3420,+1.0554,0.7833,-1.0653,-22.3546,8.7554,+1.0554 - +1.9650%,+1.9650%,54.8000,53.6000,53.6000 - 54.8000,2/1/2017,1.5600,3.0200,6.78B,2.8100,0.6900,3.0900,2.6500,53.9821,2:36pm,91.53B,55.1800,53.7000,1.3300,20.6662,-28.9868%,+1.9650%,+1.4510%,-1.9081%,+19.0293%,53.7100,5.7493,19.4895,17.7234,4.6205,0.7900,NYQ,55.8307,7445678,BMY
3543760,163740.08,+0.33,4.32,13.59,-0.06,38.40,+0.33 - +0.20%,+0.20%,167.34,166.12,166.12 - 167.34,,,,43.66B,,0.00,,15513.40,162.96,4:00pm,275.01M,,167.17,0.00,17.72,-0.04%,+0.20%,+2.65%,+8.85%,+29.80%,166.95,0.00,,,0.00,3.20,NYQ,153.69,4347155,BRKB
8209770,4.943,+0.195,1.733,2.435,-0.275,8.555,+0.195 - +0.774%,+0.774%,25.650,25.160,25.160 - 25.650,,,,2.27B,1.250,0.310,1.420,0.250,23.642,3:47pm,34.56B,28.120,25.160,1.610,101.500,-1.072%,+0.774%,+7.330%,+10.615%,+50.862%,25.180,5.094,20.300,17.870,4.090,2.200,NYQ,22.940,7979692,BSX
2183450,15.16,+0.41,1.47,5.17,-0.27,14.39,+0.41 - +0.99%,+0.99%,42.05,41.11,41.11 - 42.05,3/15/2017,0.56,1.35,807.60M,3.42,0.87,3.71,0.55,40.44,4:02pm,8.91B,42.53,41.50,1.60,76.20,-0.64%,+0.99%,+3.64%,+14.07%,+52.29%,41.50,2.74,12.29,11.30,0.97,6.67,NYQ,36.74,1527633,BWA
796364,36.313,+0.105,6.019,5.183,-8.125,25.935,+0.105 - +0.077%,+0.077%,136.470,134.520,134.520 - 136.470,1/30/2017,3.000,2.240,1.51B,2.230,0.640,2.810,3.250,129.876,3:54pm,20.90B,136.470,135.310,7.550,41.814,-5.642%,+0.077%,+4.634%,+3.965%,+23.586%,135.790,3.739,60.939,48.361,8.161,3.250,NYQ,130.712,1157005,BXP
20865800,74.26,+0.67,2.20,8.05,-1.13,23.89,+0.67 - +1.12%,+1.12%,60.87,59.70,59.70 - 60.87,2/24/2017,0.64,1.11,0.00,5.20,1.31,5.92,4.72,58.30,4:00pm,167.73B,64.61,60.16,1.61,12.82,-1.83%,+1.12%,+3.77%,+15.36%,+65.26%,59.83,0.81,11.63,10.22,2.63,0.96,NYQ,52.45,23075380,C
2650150,13.49,+0.02,-0.45,-0.82,-3.30,3.25,+0.02 - +0.06%,+0.06%,31.77,31.44,31.44 - 31.77,3/14/2017,1.02,3.21,1.28B,2.44,0.60,2.46,1.89,32.14,4:00pm,13.25B,32.80,31.47,21.75,16.80,-9.43%,+0.06%,-1.41%,-2.51%,+11.43%,31.67,2.35,12.99,12.88,3.28,4.72,NMS,32.51,2088733,CA
3079480,10.22,+0.21,0.85,2.89,-0.12,7.97,+0.21 - +0.53%,+0.53%,40.12,39.55,39.55 - 40.12,3/1/2017,0.80,2.01,1.83B,1.69,0.39,1.87,1.42,39.15,3:52pm,17.41B,41.33,39.80,1.82,28.21,-0.31%,+0.53%,+2.17%,+7.79%,+24.88%,39.79,3.89,23.67,21.39,1.54,1.44,NYQ,37.11,4172963,CAG
2589510,17.91,+1.25,5.09,4.58,-7.72,17.43,+1.25 - +1.58%,+1.58%,80.27,78.01,78.01 - 80.27,4/15/2017,1.80,2.32,3.07B,5.42,1.37,5.94,4.15,75.04,2:44pm,25.28B,81.87,78.97,1.58,19.29,-8.79%,+1.58%,+6.79%,+6.06%,+27.80%,78.88,4.40,14.78,13.49,0.20,4.76,NYQ,75.55,1714442,CAH
4436970,22.43,+0.93,4.40,9.95,-0.44,35.95,+0.93 - +0.95%,+0.95%,99.02,98.00,98.00 - 99.02,2/18/2017,3.08,3.20,5.19B,3.07,0.89,4.37,-0.12,94.62,4:00pm,58.01B,93.73,98.11,1.28,,-0.44%,+0.95%,+4.65%,+11.17%,+57.00%,98.09,4.37,32.25,22.66,1.49,6.34,NYQ,89.07,4447371,CAT
1502650,103.60,+0.47,2.89,6.55,-0.09,19.88,+0.47 - +0.35%,+0.35%,134.55,133.52,133.52 - 134.55,1/20/2017,2.76,2.08,5.73B,10.36,2.55,10.95,8.87,131.57,4:03pm,62.65B,140.65,133.96,2.64,15.16,-0.07%,+0.35%,+2.20%,+5.12%,+17.35%,133.99,1.29,12.98,12.28,1.98,3.76,NYQ,127.91,936791,CB
2149370,8.9490,+0.4557,4.3007,6.0996,-0.0643,11.7857,+0.4557 - +1.2972%,+1.2972%,35.6500,34.9925,34.9925 - 35.6500,,,,1.15B,2.3600,0.5300,2.5700,1.6900,31.2850,2:16pm,11.99B,36.1400,35.1200,1.3000,21.0566,-0.1804%,+1.2972%,+13.7468%,+20.6864%,+49.5198%,35.1300,3.9256,15.0151,13.8466,0.9053,4.5400,NYQ,29.4861,1635128,CBG
3941510,12.24,+0.11,1.47,7.46,-1.44,20.54,+0.11 - +0.17%,+0.17%,65.74,65.16,65.16 - 65.74,4/1/2017,0.72,1.12,3.35B,4.10,0.98,4.43,3.56,63.97,3:11pm,28.12B,70.59,65.38,0.86,18.38,-2.15%,+0.17%,+2.29%,+12.87%,+45.75%,65.33,5.34,16.00,14.77,1.94,3.77,NYQ,57.98,2368077,CBS
2139100,21.46,-0.27,2.90,0.21,-12.84,10.60,-0.27 - -0.30%,-0.30%,90.16,89.04,89.04 - 90.16,12/30/2016,3.80,4.34,2.11B,1.16,0.27,1.50,0.95,87.08,3:06pm,31.68B,101.47,89.62,-2.40,94.72,-12.49%,-0.30%,+3.33%,+0.24%,+13.35%,90.25,4.21,77.57,59.99,8.10,2.87,NYQ,89.77,1103214,CCI
3317260,31.12,+0.11,2.05,6.52,-1.31,13.64,+0.11 - +0.20%,+0.20%,56.53,55.61,55.61 - 56.53,3/17/2017,1.40,2.49,4.76B,3.58,0.46,4.13,3.72,54.43,4:00pm,41.00B,57.36,56.03,1.15,15.18,-2.27%,+0.20%,+3.77%,+13.05%,+31.84%,56.37,1.81,15.78,13.68,2.50,6.24,NYQ,49.96,3178915,CCL
4267660,7.29,+3.39,4.31,8.56,-6.59,26.02,+3.39 - +2.90%,+2.90%,120.63,117.03,117.03 - 120.63,,,,3.89B,7.22,1.76,8.76,2.49,116.10,3:26pm,93.34B,141.22,117.13,0.72,48.36,-5.19%,+2.90%,+3.71%,+7.65%,+27.57%,117.02,16.06,16.68,13.75,8.08,1.51,NMS,111.85,3765512,CELG
3245870,11.73,+0.48,3.77,-1.31,-12.47,8.02,+0.48 - +0.88%,+0.88%,55.28,54.35,54.35 - 55.28,,,,1.31B,2.51,0.63,2.76,1.85,51.26,3:03pm,18.43B,56.32,54.42,1.52,29.75,-18.47%,+0.88%,+7.35%,-2.33%,+17.06%,54.55,4.65,21.92,19.94,3.88,6.26,NMS,56.34,2754240,CERN
5387560,16.558,-1.445,0.225,6.935,-3.145,13.805,-1.445 - -4.012%,-4.012%,36.260,34.320,34.320 - 36.260,2/28/2017,1.200,3.350,1.30B,0.760,0.080,0.570,0.300,34.350,3:47pm,8.06B,32.180,36.200,-5.130,115.250,-8.338%,-4.012%,+0.656%,+25.090%,+66.466%,36.020,2.175,45.493,60.658,2.135,4.610,NYQ,27.640,8341859,CF
5354310,38.089,+0.365,2.187,8.803,-0.085,20.005,+0.365 - +0.961%,+0.961%,38.430,37.760,37.760 - 38.430,2/16/2017,0.560,1.540,0.00,2.270,0.560,2.660,1.970,36.158,3:40pm,19.63B,37.790,38.100,0.980,19.464,-0.221%,+0.961%,+6.050%,+29.797%,+109.079%,37.980,0.997,16.892,14.415,3.980,1.600,NYQ,29.542,2884243,CFG
1971870,7.714,+0.255,3.325,2.110,-4.895,6.230,+0.255 - +0.525%,+0.525%,49.225,48.460,48.460 - 49.225,3/1/2017,0.720,1.500,831.80M,1.900,0.420,2.040,1.750,45.460,4:00pm,12.51B,47.970,48.650,3.320,27.877,-9.119%,+0.525%,+7.314%,+4.520%,+14.640%,48.530,6.291,25.676,23.914,3.562,4.960,NYQ,46.675,2981612,CHD
45950400,-5.52,-0.12,-0.45,-0.16,-1.88,4.47,-0.12 - -1.86%,-1.86%,6.45,6.30,6.30 - 6.45,4/30/2015,0.00,0.00,481.00M,-0.08,0.19,0.77,-33.88,6.77,4:00pm,4.84B,7.65,6.43,-16.10,,-22.93%,-1.86%,-6.65%,-2.46%,+241.62%,6.44,,,8.21,0.58,2.87,NYQ,6.48,24429038,CHK
1369140,8.88,+0.70,3.27,6.03,-0.03,12.33,+0.70 - +0.91%,+0.91%,77.93,77.11,77.11 - 77.93,3/31/2017,1.80,2.35,912.20M,3.68,0.98,3.96,3.59,74.63,3:39pm,11.04B,76.42,77.25,2.86,21.70,-0.04%,+0.91%,+4.39%,+8.39%,+18.80%,77.20,8.70,21.17,19.67,0.83,13.39,NMS,71.87,636670,CHRW
1715470,148.81,+3.01,15.37,49.37,-16.49,157.99,+3.01 - +0.93%,+0.93%,325.15,320.02,320.02 - 325.15,,,,7.42B,0.60,0.96,4.96,10.88,309.64,3:15pm,87.97B,0.50,321.85,3.65,29.86,-4.83%,+0.93%,+4.96%,+17.91%,+94.59%,322.00,2.16,89.53,65.53,4.10,3.84,NMS,275.64,833393,CHTR
1251620,53.42,-0.09,2.61,13.05,-4.10,31.56,-0.09 - -0.06%,-0.06%,147.66,145.58,145.58 - 147.66,4/11/2016,0.04,0.03,4.17B,9.52,2.45,10.90,7.19,143.98,4:00pm,37.65B,165.08,146.21,1.29,20.39,-2.72%,-0.06%,+1.81%,+9.78%,+27.44%,146.68,2.75,15.40,13.45,0.95,0.92,NYQ,133.54,2248996,CI
627203,42.94,+0.31,0.53,-1.58,-6.90,10.74,+0.31 - +0.43%,+0.43%,72.71,72.05,72.05 - 72.71,4/14/2017,2.00,2.81,910.33M,3.07,0.61,3.22,3.55,72.17,3:26pm,11.95B,73.60,72.19,-3.93,20.48,-8.67%,+0.43%,+0.73%,-2.13%,+17.33%,72.39,1.69,23.68,22.58,2.18,6.24,NMS,74.28,225058,CINF
3861160,-0.27,+0.93,2.23,-1.16,-6.71,5.24,+0.93 - +1.37%,+1.37%,68.74,67.52,67.52 - 68.74,2/15/2017,1.56,2.30,4.43B,2.91,0.72,3.18,2.72,66.44,3:55pm,60.96B,69.69,67.53,2.67,25.25,-8.90%,+1.37%,+3.36%,-1.66%,+8.26%,67.74,,23.60,21.59,3.96,1.96,NYQ,69.83,3121276,CL
982813,2.11,+0.51,5.81,5.53,-12.56,16.67,+0.51 - +0.40%,+0.40%,128.10,126.94,126.94 - 128.10,5/5/2017,3.20,2.52,1.22B,5.33,1.50,5.73,4.99,122.10,2:34pm,16.41B,124.91,127.81,3.42,25.66,-8.94%,+0.40%,+4.76%,+4.52%,+14.99%,127.40,60.49,24.00,22.32,2.78,5.97,NYQ,122.38,393785,CLX
2033040,44.47,+1.21,4.63,16.43,-0.61,41.50,+1.21 - +1.68%,+1.68%,73.85,72.36,72.36 - 73.85,4/1/2017,0.92,1.33,0.00,3.98,0.96,4.71,2.68,68.61,4:01pm,12.84B,70.91,72.71,0.81,27.33,-0.83%,+1.68%,+6.75%,+28.91%,+130.75%,72.03,1.62,18.40,15.55,4.86,2.67,NYQ,56.81,4125877,CMA
9827200,22.705,+0.505,3.565,8.472,-0.275,20.005,+0.505 - +0.664%,+0.664%,76.660,75.690,75.690 - 76.660,4/26/2017,0.630,0.840,26.48B,3.750,0.930,4.350,3.570,73.030,4:00pm,181.97B,82.390,75.750,1.740,21.455,-0.358%,+0.664%,+4.882%,+12.436%,+35.351%,76.090,3.351,20.425,17.608,2.248,2.950,NMS,68.123,6924166,CMCSA
1617620,60.17,+1.10,4.23,10.97,-1.90,33.11,+1.10 - +0.91%,+0.91%,122.67,120.56,120.56 - 122.67,3/27/2017,2.64,2.22,2.43B,4.81,1.23,5.27,4.53,117.88,4:00pm,41.28B,126.67,121.48,2.80,26.96,-1.53%,+0.91%,+3.59%,+9.87%,+37.20%,121.01,2.01,25.39,23.17,11.38,5.43,NMS,111.14,1226892,CME
1069410,48.67,+3.80,18.19,21.01,-119.16,70.38,+3.80 - +0.91%,+0.91%,425.59,419.01,419.01 - 425.59,,,,204.81M,8.21,2.42,11.89,0.77,405.15,4:02pm,12.18B,401.79,420.00,0.36,549.79,-21.96%,+0.91%,+4.49%,+5.22%,+19.94%,419.54,8.62,51.56,35.60,3.09,5.24,NYQ,402.33,821961,CMG
1439930,41.04,-0.02,8.72,19.28,-1.68,58.67,-0.02 - -0.01%,-0.01%,152.53,151.55,151.55 - 152.53,12/1/2016,4.10,2.72,2.29B,7.98,2.18,9.32,8.23,143.22,4:00pm,25.45B,149.50,152.00,25.47,18.46,-1.09%,-0.01%,+6.09%,+14.54%,+62.90%,151.96,3.70,18.85,16.30,1.45,2.76,NYQ,132.66,1721204,CMI
1827800,15.23,-0.01,0.62,0.93,-3.48,4.45,-0.01 - -0.02%,-0.02%,42.85,42.31,42.31 - 42.85,2/28/2017,1.33,3.10,2.00B,2.17,0.38,2.33,1.98,42.15,4:01pm,11.96B,44.92,42.41,2.59,21.60,-7.52%,-0.02%,+1.48%,+2.22%,+11.61%,42.78,2.81,19.71,18.36,1.87,2.76,NYQ,41.84,1737229,CMS
1802240,34.29,+0.60,8.37,8.35,-4.04,21.53,+0.60 - +0.85%,+0.85%,71.89,70.56,70.56 - 71.89,,,,1.89B,4.69,1.24,5.28,3.43,63.16,3:29pm,12.30B,78.00,70.56,0.95,20.87,-5.35%,+0.85%,+13.25%,+13.22%,+43.06%,70.93,2.07,15.25,13.55,0.32,2.87,NYQ,63.18,1355168,CNC
3243350,8.062,+0.005,0.460,2.274,-0.635,8.015,+0.005 - +0.019%,+0.019%,26.100,25.755,25.755 - 26.100,3/10/2017,1.070,4.040,2.06B,1.180,0.340,1.270,-0.414,25.595,3:36pm,11.22B,25.270,25.860,3.380,,-2.379%,+0.019%,+1.797%,+9.564%,+44.429%,26.050,3.231,22.081,20.516,1.550,2.390,NYQ,23.781,3037777,CNP
2940510,98.2710,+0.8999,2.8831,12.2876,-0.5601,33.0499,+0.8999 - +0.9979%,+0.9979%,91.3600,89.6050,89.6050 - 91.3600,2/24/2017,1.6000,1.8100,0.00,7.9100,1.9600,8.8800,6.8930,88.1968,2:14pm,44.04B,98.7500,90.4900,1.3200,13.2134,-0.6112%,+0.9979%,+3.2689%,+15.5949%,+56.9531%,90.1800,0.9177,11.5145,10.2567,2.2898,4.6000,NYQ,78.7923,1461416,COF
6674870,6.16,-0.26,1.38,0.65,-2.76,5.25,-0.26 - -1.07%,-1.07%,24.35,23.83,23.83 - 24.35,2/9/2017,0.08,0.33,431.59M,-0.22,0.14,0.46,-0.53,22.60,3:11pm,11.15B,28.34,24.14,-1.70,,-10.32%,-1.07%,+6.09%,+2.79%,+28.03%,24.24,3.94,,52.13,10.16,2.41,NYQ,23.33,3915963,COG
3287900,10.02,-0.02,1.97,1.01,-5.63,4.46,-0.02 - -0.05%,-0.05%,38.26,37.94,37.94 - 38.26,1/3/2017,1.35,3.55,898.90M,2.14,0.50,2.34,1.82,36.11,3:11pm,10.69B,42.77,38.00,1.79,20.90,-12.88%,-0.05%,+5.46%,+2.72%,+13.27%,38.10,3.80,17.79,16.27,2.35,2.25,NYQ,37.07,1617771,COH
1265650,16.85,+0.21,1.47,5.33,-3.73,14.28,+0.21 - +0.23%,+0.23%,92.99,92.14,92.14 - 92.99,3/6/2017,1.32,1.45,1.22B,5.40,1.38,5.83,5.59,91.35,4:02pm,12.14B,99.00,92.79,2.57,16.59,-3.86%,+0.23%,+1.61%,+6.10%,+18.18%,92.61,5.50,17.19,15.92,2.29,0.00,NYQ,87.49,1054686,COL
527521,55.34,+0.04,9.48,12.28,-0.69,53.66,+0.04 - +0.02%,+0.02%,192.04,190.44,190.44 - 192.04,2/9/2017,0.06,0.03,610.15M,9.21,2.26,10.34,5.59,182.21,3:39pm,9.35B,196.25,190.88,1.60,34.29,-0.36%,+0.02%,+5.20%,+6.84%,+38.88%,191.65,3.46,20.81,18.54,4.75,3.94,NYQ,179.41,401411,COO
6908860,29.19,-0.78,-0.71,3.91,-3.81,17.54,-0.78 - -1.56%,-1.56%,50.29,49.31,49.31 - 50.29,3/1/2017,1.06,2.11,5.00B,0.67,0.12,1.91,-2.91,50.07,4:00pm,61.07B,57.77,49.83,-1.95,,-7.17%,-1.56%,-1.42%,+8.60%,+55.12%,50.14,1.72,74.79,25.84,2.58,2.44,NYQ,45.45,7446188,COP
2154980,27.25,+0.91,10.20,16.88,-0.21,35.97,+0.91 - +0.52%,+0.52%,174.75,173.06,173.06 - 174.75,2/24/2017,1.80,1.05,5.03B,5.90,1.36,6.55,5.48,164.34,3:18pm,76.66B,176.27,173.18,2.81,31.85,-0.12%,+0.52%,+6.21%,+10.71%,+25.96%,173.63,6.37,29.58,26.65,0.64,3.75,NMS,157.66,728134,COST
6546500,13.117,+0.495,0.821,-2.308,-11.838,1.825,+0.495 - +2.569%,+2.569%,19.865,19.370,19.370 - 19.865,3/10/2017,0.500,2.740,848.30M,0.790,0.140,0.980,-0.025,18.944,3:15pm,14.76B,20.680,19.390,-4.070,,-37.457%,+2.569%,+4.335%,-10.456%,+10.173%,19.270,1.469,25.019,20.168,2.663,5.920,NYQ,22.073,5957046,COTY
1694020,5.18,+0.42,1.41,5.28,-4.44,10.86,+0.42 - +0.67%,+0.67%,63.62,62.61,62.61 - 63.62,1/30/2017,1.40,2.21,1.58B,3.08,0.67,3.23,2.13,62.04,4:01pm,19.48B,60.25,63.04,3.88,29.82,-6.54%,+0.67%,+2.27%,+9.08%,+20.65%,63.03,12.18,20.60,19.64,2.43,6.05,NYQ,58.17,1888473,CPB
5792190,9.769,+0.844,5.522,6.904,-2.716,21.874,+0.844 - +1.043%,+1.043%,82.059,80.890,80.890 - 82.059,,,,534.22M,0.980,0.300,1.290,0.295,76.242,2:58pm,56.96B,94.110,81.230,2.860,277.166,-3.215%,+1.043%,+7.243%,+9.223%,+36.524%,80.920,8.283,83.433,63.383,7.130,3.460,NYQ,74.860,2600389,CRM
22328800,12.62,+0.51,2.15,2.07,-0.01,7.17,+0.51 - +1.58%,+1.58%,32.83,32.29,32.29 - 32.83,1/25/2017,1.04,3.30,14.99B,2.37,0.58,2.49,2.09,30.67,2:36pm,164.75B,33.26,32.31,1.25,15.70,-0.03%,+1.58%,+7.00%,+6.73%,+27.95%,32.31,2.56,13.85,13.18,3.32,1.98,NMS,30.75,1087111,CSCO
1309030,1.87,+0.40,-1.50,1.56,-3.15,8.44,+0.40 - +1.33%,+1.33%,30.41,29.87,29.87 - 30.41,1/24/2017,0.40,1.29,745.57M,2.01,0.48,2.06,1.18,31.89,3:12pm,4.96B,35.83,30.03,1.54,25.65,-9.39%,+1.33%,-4.71%,+5.41%,+38.45%,29.99,16.08,15.12,14.75,0.97,3.04,NYQ,28.83,1439542,CSRA
11787800,12.51,-0.41,4.87,13.37,-1.54,24.33,-0.41 - -0.85%,-0.85%,47.85,46.76,46.76 - 47.85,3/15/2017,0.72,1.51,4.69B,2.01,0.53,2.27,1.81,42.72,2:07pm,44.50B,45.96,47.10,2.45,26.32,-3.13%,-0.85%,+11.40%,+39.09%,+104.60%,48.00,3.84,23.68,20.96,4.05,1.28,NMS,34.22,610404,CSX
659856,19.29,+1.47,2.90,5.27,-3.72,38.27,+1.47 - +1.26%,+1.26%,118.60,116.46,116.46 - 118.60,12/2/2016,1.05,0.90,983.28M,4.62,1.15,4.91,4.80,115.58,2:59pm,12.45B,125.20,116.74,2.45,24.70,-3.04%,+1.26%,+2.51%,+4.66%,+47.71%,117.02,6.07,25.65,24.13,2.42,8.21,NMS,113.22,279431,CTAS
7662990,24.815,-0.145,-0.757,-2.017,-9.055,1.535,-0.145 - -0.591%,-0.591%,24.520,24.290,24.290 - 24.520,12/12/2016,2.160,8.820,6.49B,2.160,0.550,2.100,1.160,25.152,3:52pm,13.17B,27.750,24.480,-4.390,21.030,-27.070%,-0.591%,-3.011%,-7.636%,+6.715%,24.540,0.989,11.347,11.617,0.758,10.640,NYQ,26.412,4849558,CTL
6414840,17.67,+0.77,2.13,3.15,-5.10,12.69,+0.77 - +1.34%,+1.34%,58.40,57.07,57.07 - 58.40,,,,2.66B,3.65,0.90,4.27,2.55,56.00,4:00pm,35.28B,65.17,57.07,1.25,22.80,-8.07%,+1.34%,+3.80%,+5.72%,+27.93%,57.36,3.25,15.93,13.61,2.58,1.34,NMS,54.98,5624389,CTSH
1682330,16.490,+1.465,-6.719,-6.092,-0.145,14.525,+1.465 - +1.856%,+1.856%,80.540,78.140,78.140 - 80.540,,,,1.06B,4.650,1.100,5.080,3.410,87.114,2:47pm,12.72B,84.700,78.720,1.420,23.576,-0.180%,+1.856%,-7.713%,-7.044%,+22.051%,78.930,4.787,17.289,15.826,3.653,3.980,NMS,86.487,1450366,CTXS
7829880,34.71,+0.54,-0.55,-5.61,-27.46,9.91,+0.54 - +0.69%,+0.69%,79.38,78.83,78.83 - 79.38,2/2/2017,2.00,2.55,13.05B,5.86,1.32,6.37,4.91,79.76,3:04pm,84.04B,86.34,78.88,1.29,16.14,-25.74%,+0.69%,-0.69%,-6.61%,+14.30%,78.67,2.27,13.52,12.43,0.47,5.96,NYQ,84.82,3994801,CVS
6493490,77.76,+0.05,-2.46,4.97,-6.43,29.67,+0.05 - +0.04%,+0.04%,113.24,112.21,112.21 - 113.24,3/10/2017,4.32,3.79,13.98B,4.58,1.12,6.04,-0.27,115.03,4:03pm,212.51B,126.25,112.21,0.94,,-5.40%,+0.04%,-2.14%,+4.62%,+35.79%,112.52,1.45,24.58,18.64,2.06,3.95,NYQ,107.60,7045493,CVX
1401360,51.0350,-0.9375,5.5235,8.9045,-4.2275,55.7725,-0.9375 - -0.6499%,-0.6499%,143.7800,142.2500,142.2500 - 143.7800,,,,943.75M,0.4500,0.0600,0.2500,-10.2600,137.7990,2:45pm,20.20B,162.2300,143.3500,16.9600,,-2.8651%,-0.6499%,+4.0084%,+6.6245%,+63.7036%,144.2600,2.8267,318.4944,573.2900,13.5619,5.1000,NYQ,134.4180,834813,CXO
2660470,23.29,-0.85,-2.68,-2.23,-6.70,4.69,-0.85 - -1.16%,-1.16%,72.80,71.96,71.96 - 72.80,3/20/2017,3.02,4.12,5.48B,3.68,0.75,4.07,3.44,74.95,3:22pm,45.32B,77.06,72.55,4.41,21.01,-8.48%,-1.16%,-3.58%,-2.99%,+6.94%,73.12,3.14,19.64,17.76,3.91,8.37,NYQ,74.50,2115035,D
7666680,16.75,+1.31,1.69,7.34,-1.59,18.57,+1.31 - +2.63%,+2.63%,51.96,50.53,50.53 - 51.96,12/2/2016,0.81,1.64,8.86B,5.31,1.61,5.80,5.79,49.48,2:35pm,37.46B,0.40,50.95,-21.41,8.84,-3.01%,+2.63%,+3.41%,+16.75%,+56.96%,49.86,2.98,9.78,8.82,0.92,1.85,NYQ,43.83,10255140,DAL
2550710,11.3110,-0.0995,2.8817,6.7996,-0.4095,20.1905,-0.0995 - -0.1275%,-0.1275%,78.0900,77.5300,77.5300 - 78.0900,3/14/2017,1.5200,1.9700,5.07B,3.6900,1.3200,4.0300,2.8550,75.0688,2:57pm,67.39B,82.4400,78.0300,3.1100,27.3032,-0.5226%,-0.1275%,+3.8387%,+9.5566%,+34.9559%,78.0500,6.9004,21.1248,19.3426,2.7438,2.5500,NYQ,71.1509,848497,DD
2954480,20.71,-0.93,2.54,16.03,-3.06,34.21,-0.93 - -0.85%,-0.85%,109.67,108.31,108.31 - 109.67,2/1/2017,2.40,2.18,3.81B,4.52,1.51,5.26,4.81,106.58,4:00pm,34.58B,102.63,109.08,1.32,22.69,-2.73%,-0.85%,+2.38%,+17.23%,+45.67%,110.05,5.31,24.14,20.75,1.31,8.26,NYQ,93.09,5231843,DE
2554350,29.11,+0.21,0.61,7.85,-3.27,25.79,+0.21 - +0.30%,+0.30%,71.40,70.64,70.64 - 71.40,2/23/2017,1.20,1.74,0.00,6.07,1.49,6.78,5.77,70.45,3:00pm,27.64B,80.04,71.14,1.36,12.32,-4.40%,+0.30%,+0.87%,+12.42%,+56.97%,70.85,2.43,11.71,10.48,3.17,1.71,NYQ,63.21,1312287,DFS
3055940,19.41,+0.24,3.81,1.86,-19.50,10.88,+0.24 - +0.31%,+0.31%,77.45,76.62,76.62 - 77.45,1/4/2017,1.00,1.30,2.37B,4.39,1.05,4.69,4.26,73.57,4:02pm,21.38B,79.98,77.01,1.77,18.15,-20.13%,+0.31%,+5.17%,+2.46%,+16.36%,77.14,3.97,17.63,16.50,1.00,2.70,NYQ,75.52,1614383,DG
997848,33.78,+0.66,2.75,8.30,-0.04,32.22,+0.66 - +0.70%,+0.70%,95.31,94.26,94.26 - 95.31,1/25/2017,1.80,1.92,1.48B,5.47,1.44,5.78,4.51,92.52,2:26pm,13.05B,92.69,94.26,2.08,21.12,-0.04%,+0.70%,+2.98%,+9.54%,+51.10%,94.61,2.80,17.42,16.48,1.72,4.26,NYQ,86.97,678239,DGX
